Name,Rkiname,Type,State,Ags,Lat,Long,Pop
Main-Kinzig-Kreis,LK Main-Kinzig-Kreis,Landkreis,Hessen,06435,50.243344,9.2931037,420552
Main-Taunus-Kreis,LK Main-Taunus-Kreis,Landkreis,Hessen,06436,50.097876,8.4478967,238558
Odenwaldkreis,LK Odenwaldkreis,Landkreis,Hessen,06437,49.675058,8.988983,96703
Offenbach,LK Offenbach,Landkreis,Hessen,06438,50.022103,8.8260025,355813
Rheingau-Taunus-Kreis,LK Rheingau-Taunus-Kreis,Landkreis,Hessen,06439,50.139484,8.0949772,187160
Wetteraukreis,LK Wetteraukreis,Landkreis,Hessen,06440,50.352779,8.9212263,308339
Gießen,LK Gießen,Landkreis,Hessen,06531,50.566243,8.8206054,270688
Lahn-Dill-Kreis,LK Lahn-Dill-Kreis,Landkreis,Hessen,06532,50.648039,8.3791535,253319
Limburg-Weilburg,LK Limburg-Weilburg,Landkreis,Hessen,06533,50.427262,8.2174087,171912
Marburg-Biedenkopf,LK Marburg-Biedenkopf,Landkreis,Hessen,06534,50.83295,8.7522191,247084
Vogelsbergkreis,LK Vogelsbergkreis,Landkreis,Hessen,06535,50.638109,9.2796685,105643
Kassel,SK Kassel,Stadt,Hessen,06611,51.313095,9.4655528,202137
Fulda,LK Fulda,Landkreis,Hessen,06631,50.564394,9.7600374,223145
Hersfeld-Rotenburg,LK Hersfeld-Rotenburg,Landkreis,Hessen,06632,50.909447,9.755943,120719
Kassel,LK Kassel,Landkreis,Hessen,06633,51.482179,9.4568303,236764
Schwalm-Eder-Kreis,LK Schwalm-Eder-Kreis,Landkreis,Hessen,06634,51.023792,9.3816677,179673
Waldeck-Frankenberg,LK Waldeck-Frankenberg,Landkreis,Hessen,06635,51.188851,8.9051729,156406
Werra-Meißner-Kreis,LK Werra-Meißner-Kreis,Landkreis,Hessen,06636,51.192965,9.9315409,100629
Koblenz,SK Koblenz,Stadt,Rheinland-Pfalz,07111,50.34527,7.5872981,114052
Ahrweiler,LK Ahrweiler,Landkreis,Rheinland-Pfalz,07131,50.461821,7.0515366,130086
Altenkirchen (Westerwald),LK Altenkirchen,Landkreis,Rheinland-Pfalz,07132,50.751529,7.7516687,128805
Bad Kreuznach,LK Bad Kreuznach,Landkreis,Rheinland-Pfalz,07133,49.825742,7.6943427,158345
Birkenfeld,LK Birkenfeld,Landkreis,Rheinland-Pfalz,07134,49.717299,7.2890031,80951
Cochem-Zell,LK Cochem-Zell,Landkreis,Rheinland-Pfalz,07135,50.131267,7.1864285,61375
Mayen-Koblenz,LK Mayen-Koblenz,Landkreis,Rheinland-Pfalz,07137,50.32879,7.3401513,214434
Neuwied,LK Neuwied,Landkreis,Rheinland-Pfalz,07138,50.555697,7.4755532,182811
Rhein-Hunsrück-Kreis,LK Rhein-Hunsrück-Kreis,Landkreis,Rheinland-Pfalz,07140,50.045793,7.5144261,103163
Rhein-Lahn-Kreis,LK Rhein-Lahn-Kreis,Landkreis,Rheinland-Pfalz,07141,50.263929,7.8582581,122297
Westerwaldkreis,LK Westerwaldkreis,Landkreis,Rheinland-Pfalz,07143,50.551418,7.8785675,201904
Trier,SK Trier,Stadt,Rheinland-Pfalz,07211,49.763893,6.6508604,111528
Bernkastel-Wittlich,LK Bernkastel-Wittlich,Landkreis,Rheinland-Pfalz,07231,49.925053,6.9707499,112483
