Ags,Rkiname,Inzidenz,delta_1,delta_1_p,Lat,Long
09778,LK Unterallgäu,166.9,2.1,1.5,48.043666,10.394069
09779,LK Donau-Ries,141.2,2.3,1.9,48.805268,10.72336
09780,LK Oberallgäu,121.5,4.4,4.6,47.514561,10.255646
10041,LK Stadtverband Saarbrücken,109.2,3.4,3.5,49.254221,6.9624581
10042,LK Merzig-Wadern,66.8,4.1,9.4,49.497743,6.6812872
10043,LK Neunkirchen,114.3,4.3,5.2,49.382253,7.1228489
10044,LK Saarlouis,90.1,8.4,10.8,49.357861,6.7777539000000004
10045,LK Saarpfalz-Kreis,76.6,6.6,8.8,49.250003,7.2453135
10046,LK Sankt Wendel,79.2,0.5,0.8,49.527195,7.105983
11001,SK Berlin Mitte,122.4,9.7,8.6,52.502759,13.399375
11002,SK Berlin Friedrichshain-Kreuzberg,93.2,14.7,16.9,52.502759,13.399375
11003,SK Berlin Pankow,80.4,5.7,7.4,52.502759,13.399375
11004,SK Berlin Charlottenburg-Wilmersdorf,100.8,5.3,5.6,52.502759,13.399375
11005,SK Berlin Spandau,129,9.7,9,52.502759,13.399375
11006,SK Berlin Steglitz-Zehlendorf,84.3,11.3,14.3,52.502759,13.399375
11007,SK Berlin Tempelhof-Schöneberg,111.4,7.6,7.3,52.502759,13.399375
11008,SK Berlin Neukölln,135.3,14.1,11.7,52.502759,13.399375
11009,SK Berlin Treptow-Köpenick,84.5,7,9.2,52.502759,13.399375
11010,SK Berlin Marzahn-Hellersdorf,113.7,7,7.1,52.502759,13.399375
11011,SK Berlin Lichtenberg,108.7,10,9.5,52.502759,13.399375
11012,SK Berlin Reinickendorf,118,8.7,7.7,52.502759,13.399375
12051,SK Brandenburg a.d.Havel,89,0.3,0.4,52.393582,12.513434
12052,SK Cottbus,142,0.4,0.2,51.773461,14.379693
12053,SK Frankfurt (Oder),109,1.1,1.3,52.326169,14.488103
12054,SK Potsdam,89,1.8,2.3,52.396134000000004,13.05742
12060,LK Barnim,85.4,2,2.6,52.82132,13.711743
12061,LK Dahme-Spreewald,91.4,6.1,6.7,52.044154,13.829476
12062,LK Elbe-Elster,187.7,0.1,0.1,51.613588,13.476273
12063,LK Havelland,112,1,0.8,52.616959,12.632832
12064,LK Märkisch-Oderland,93.6,2.7,2.9,52.606125,14.148876
12065,LK Oberhavel,112.2,1.3,1.1,52.903092,13.210681
12066,LK Oberspreewald-Lausitz,160,1.4,0.8,51.618423,13.959035
12067,LK Oder-Spree,133.1,0.3,0.3,52.246749,14.218978
12068,LK Ostprignitz-Ruppin,92.1,1.6,1.8,52.986298,12.642753
12069,LK Potsdam-Mittelmark,85.4,2.1,2.8,52.251067,12.708471
12070,LK Prignitz,97.3,1.7,1.6,53.104582,11.968515
12071,LK Spree-Neiße,145.1,1.2,1.5,51.622702,14.370469
12072,LK Teltow-Fläming,111.8,0.5,0.5,52.072272,13.287821
12073,LK Uckermark,81.2,0.9,1.5,53.204681,13.861258
13003,SK Rostock,62.8,1.4,2.4,54.15084,12.150236
13004,SK Schwerin,97.7,0.6,0.6,53.621983,11.419816
13071,LK Mecklenburgische Seenplatte,108.4,0.8,0.8,53.544128,13.002276
13072,LK Rostock,91.5,5.3,6,53.911856,12.22239
13073,LK Vorpommern-Rügen,61.2,5.3,9.6,54.247992000000004,12.898721
13074,LK Nordwestmecklenburg,101.9,0.6,0.6,53.820465,11.250093
13075,LK Vorpommern-Greifswald,124.2,18,15.8,53.769177,13.75855
