Ags,Rkiname,Inzidenz_mean,Inzidenz_quart,Inzidenz_quant_90,delta_1_mean,delta_1_med,delta_1_quart,delta_1_quant_90,delta_2_mean,delta_2_med,delta_2_quart,delta_2_quant_90,delta_3_mean,delta_3_med,delta_3_quart,delta_3_quant_90,delta_5_mean,delta_5_med,delta_5_quart,delta_5_quant_90,delta_7_mean,delta_7_med,delta_7_quart,delta_7_quant_90,delta_I4_mean,delta_I4_med,delta_I4_quart,delta_I4_quant_90
05114,SK Krefeld,151.9,194.1,225.9,2.7,1.3,4,7.2,2.9,1.3,4.1,8.7,2.8,1.2,4.1,8,2.7,1.1,4,7,2.5,0.9,3.7,6.4,2.6,1,3.9,6.7
05116,SK Mönchengladbach,97.6,126.1,146,8,6,12,16.9,9.3,7,12.9,21.7,9.5,7.6,13.1,21.8,9.6,7.9,13.3,22.3,9.7,7.9,13.5,22.3,10,7.8,14.3,22.2
05117,SK Mülheim a.d.Ruhr,130.8,184.2,215,4.1,0.5,4.1,13.4,6.3,1.7,9.1,18.7,7.3,2.9,11.9,18.8,7.7,3.6,13,19.6,7.9,3.6,14,19.6,6.8,2.8,9.1,18.8
05119,SK Oberhausen,120.9,147.6,155.9,10.6,8.2,16.5,21.1,15.3,13.1,24.4,29.7,18.2,17,26.9,34.1,21.8,22.7,30.7,37.3,23.7,23.4,33.4,41.3,28.7,26.7,36.9,43.3
05120,SK Remscheid,197.1,258,290.3,1.1,0.3,0.6,1.6,1.1,0.3,0.7,1.5,1.1,0.3,0.7,1.4,1.2,0.3,0.8,1.5,1.2,0.3,0.8,2.7,1.3,0.3,0.8,3.7
05122,SK Solingen,154.5,178.5,209.6,1,0,0.6,1.5,1.1,0.3,0.7,1.7,1.2,0.3,0.9,2.3,1.3,0.4,0.9,2.3,1.3,0.4,0.9,1.8,1.3,0.6,0.9,1.5
05124,SK Wuppertal,166.1,205.8,241.3,1.9,0.6,1.5,5.3,2.6,0.9,1.9,7.1,2.8,1,2.4,7.6,3.1,1.2,2.7,8.2,3.2,1.3,2.7,8.3,3.2,1.2,2.3,9.3
05154,LK Kleve,114.6,126.6,155.7,4.5,2.7,7.4,10.5,4.9,4.2,7.5,10.9,5,3.8,7.4,10.9,4.9,3.5,7.4,10.7,4.7,3.5,7.2,10.6,4.3,2.7,6.8,10.5
05158,LK Mettmann,140.6,198.1,211.4,1.7,0.5,1,2.6,2.1,0.7,1.6,3.7,2.2,0.8,1.9,4,2.3,0.8,2.2,6,2.4,0.8,2.4,6.6,2.5,0.8,2.7,6.8
05162,LK Rhein-Kreis Neuss,101.6,125.7,133.6,5.6,3.1,7.2,14.9,7.7,3.6,8.9,21.9,9.5,4,10.7,23.7,11.5,5,13,31.4,12.7,5.3,14.1,34.4,13.7,4.4,14.9,38.9
05166,LK Viersen,98.3,123.4,136.2,2.3,0.5,2,5.3,2.5,0.8,2.2,4.8,2.5,1,2.2,4.9,2.5,1.1,2,4.4,2.7,1.2,2.5,4.3,2.9,1.5,2.9,4.4
05170,LK Wesel,100,126.6,135.2,8.1,6.8,10.6,15.5,9.1,7.7,11.7,16.1,9.5,7.9,11.9,16.2,9.7,8.2,12.1,16.8,9.7,7.6,12.1,17.2,10.1,8.3,12.1,17.6
05314,SK Bonn,119.9,166.9,189.2,0.5,0.2,0.5,0.9,0.6,0.3,0.6,1.4,0.8,0.5,0.9,1.7,1,0.6,1.3,2.2,1.2,0.9,1.4,2.7,1.2,1,1.7,2.8
05315,SK Köln,140.6,176.9,207,3.1,2.4,4.3,6.2,4.1,3.7,5.2,7.4,4.6,3.7,6.4,8.5,5.1,4.8,6.7,9.5,5.4,5,7.1,10,6.2,5.7,8,11.3
05316,SK Leverkusen,145.2,231.4,249.7,0.6,0,0.3,1.2,1,0,0.9,1.7,1.3,0.3,1.2,2,1.8,0.5,1.5,3.3,2,0.9,2.2,3.5,2.8,1,3.1,7.1
05334,StadtRegion Aachen,111.8,136.5,154.7,7.8,5,10,15.7,8.3,5.9,10,16,8.4,5.6,10.1,16,8.3,6,9.6,16,8.3,5.6,9.8,15.8,8.5,5.6,10.1,15.6
05358,LK Düren,148.4,164,180.4,0.6,0.2,0.5,1.6,0.7,0.2,0.6,1.7,0.7,0.2,0.6,1.7,0.7,0.3,0.6,1.8,0.7,0.3,0.6,1.9,0.8,0.3,0.9,2.1
05362,LK Rhein-Erft-Kreis,137.9,175.6,182.1,0.2,0,0,0,0.2,0,0,0.1,0.2,0,0,0.1,0.3,0,0,0.1,0.3,0,0,0.1,0,0,0,0.1
05366,LK Euskirchen,110.5,141.7,157.9,7.6,2.9,8.8,17.1,9,5,11.6,18.7,9.3,4.8,12.1,18.8,9.7,5.3,12.6,19.8,9.8,5.8,12.6,20.4,10.6,5.9,13,22
05370,LK Heinsberg,95.1,127.2,136.1,1.9,1.4,3.1,4.6,3.2,2.8,4.9,6.6,3.9,3.5,5.4,7.7,4.6,4.2,6.3,7.8,4.9,4.5,6.3,8.1,5.4,4.8,7.1,8.6
